"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"CA00702LED4","L ACADIE, QC CA","2019-01-27","0.4",,"270.0","-8.4","-1.3","-15.6"
"CA00702LED4","L ACADIE, QC CA","2019-01-28","0.2",,"270.0","-15.5","-11.7","-19.2"
"CA00702LED4","L ACADIE, QC CA","2019-01-29","1.5",,"270.0","-9.7","-2.6","-16.8"
"CA00702LED4","L ACADIE, QC CA","2019-01-30","0.6",,"290.0","-11.8","-6.7","-17.0"
"CA00702LED4","L ACADIE, QC CA","2019-01-31","0.1",,"290.0","-15.3","-13.4","-17.2"
"CA00702LED4","L ACADIE, QC CA","2019-02-01","0.0",,"280.0","-16.6","-12.2","-20.9"
"CA00702LED4","L ACADIE, QC CA","2019-02-02","1.2",,"280.0","-13.6","-5.8","-21.3"
"CA00702LED4","L ACADIE, QC CA","2019-02-03","3.0",,"310.0","-13.8","-9.3","-18.4"
"CA00702LED4","L ACADIE, QC CA","2019-02-04",,,"340.0",,,
"CA00702LED4","L ACADIE, QC CA","2019-02-05","5.7",,"320.0","-1.1","7.2","-9.4"
"CA00702LED4","L ACADIE, QC CA","2019-02-06","3.9",,"280.0","-7.8","-4.5","-11.1"
"CA00702LED4","L ACADIE, QC CA","2019-02-07","0.5",,"280.0","-1.2","3.7","-6.1"
"CA00702LED4","L ACADIE, QC CA","2019-02-08","2.1",,"250.0","-1.3","6.0","-8.7"
"CA00702LED4","L ACADIE, QC CA","2019-02-09","0.0",,"220.0","-10.1","-8.2","-12.0"
"CA00702LED4","L ACADIE, QC CA","2019-02-10","0.0",,"230.0","-9.6","-6.8","-12.4"
"CA00702LED4","L ACADIE, QC CA","2019-02-11","0.2",,"230.0","-12.4","-9.0","-15.8"
"CA00702LED4","L ACADIE, QC CA","2019-02-12",,,"230.0",,,
"CA00702LED4","L ACADIE, QC CA","2019-02-13","11.3",,"460.0","-2.3","0.6","-5.3"
"CA00702LED4","L ACADIE, QC CA","2019-02-14","0.0",,"450.0","-9.7","-4.8","-14.5"
"CA00702LED4","L ACADIE, QC CA","2019-02-15","1.6",,"430.0","-1.8","3.6","-7.2"
"CA00702LED4","L ACADIE, QC CA","2019-02-16","0.0",,"380.0","-7.6","-2.2","-13.0"
"CA00702LED4","L ACADIE, QC CA","2019-02-17","0.8",,"370.0","-16.5","-9.3","-23.7"
"CA00702LED4","L ACADIE, QC CA","2019-02-18","0.3",,"400.0","-13.5","-8.9","-18.1"
"CA00702LED4","L ACADIE, QC CA","2019-02-19","0.0",,"360.0","-15.6","-10.7","-20.5"
"CA00702LED4","L ACADIE, QC CA","2019-02-20","1.5",,"360.0","-14.9","-4.8","-25.1"
"CA00702LED4","L ACADIE, QC CA","2019-02-21","8.7",,"470.0","-1.8","2.8","-6.3"
"CA00702LED4","L ACADIE, QC CA","2019-02-22","0.0",,"430.0","-8.2","-1.4","-15.0"
"CA00702LED4","L ACADIE, QC CA","2019-02-23","0.6",,"430.0","-9.7","0.0","-19.5"
"CA00702LED4","L ACADIE, QC CA","2019-02-24","9.8",,"420.0","0.9","4.1","-2.3"
"CA00702LED4","L ACADIE, QC CA","2019-02-25","0.6",,"360.0","-4.9","2.0","-11.8"
"CA00702LED4","L ACADIE, QC CA","2019-02-26","0.0",,"350.0","-14.9","-11.8","-17.9"
"CA00702LED4","L ACADIE, QC CA","2019-02-27","0.0",,"360.0","-17.3","-13.5","-21.0"
"CA00702LED4","L ACADIE, QC CA","2019-02-28","0.0",,"350.0","-15.1","-8.9","-21.2"
"CA00702LED4","L ACADIE, QC CA","2019-03-01","0.9",,"350.0","-10.3","-2.8","-17.8"
"CA00702LED4","L ACADIE, QC CA","2019-03-02",,,"350.0",,,
"CA00702LED4","L ACADIE, QC CA","2019-03-03","0.9",,"350.0","-4.0","-0.5","-7.5"
"CA00702LED4","L ACADIE, QC CA","2019-03-04","0.4",,"370.0","-6.7","-3.4","-10.1"
"CA00702LED4","L ACADIE, QC CA","2019-03-05","0.2",,"370.0","-11.9","-7.4","-16.4"
"CA00702LED4","L ACADIE, QC CA","2019-03-06","0.0",,"380.0","-12.7","-9.1","-16.3"
"CA00702LED4","L ACADIE, QC CA","2019-03-07","0.2",,"380.0","-13.8","-8.9","-18.7"
"CA00702LED4","L ACADIE, QC CA","2019-03-08","0.3",,"380.0","-9.9","-2.8","-17.1"
"CA00702LED4","L ACADIE, QC CA","2019-03-09","0.3",,"380.0","-5.5","-2.3","-8.7"
"CA00702LED4","L ACADIE, QC CA","2019-03-10","12.6",,"380.0","-3.1","2.8","-9.0"
"CA00702LED4","L ACADIE, QC CA","2019-03-11","2.3",,"430.0","0.1","3.4","-3.2"
"CA00702LED4","L ACADIE, QC CA","2019-03-12","0.1",,"420.0","-7.0","-2.7","-11.3"
"CA00702LED4","L ACADIE, QC CA","2019-03-13","1.1",,"410.0","-4.7","1.2","-10.6"
"CA00702LED4","L ACADIE, QC CA","2019-03-14","0.5",,"410.0","3.5","8.4","-1.4"
"CA00702LED4","L ACADIE, QC CA","2019-03-15","1.1",,"280.0","6.8","10.0","3.7"
"CA00702LED4","L ACADIE, QC CA","2019-03-16","0.4",,"170.0","-0.6","3.7","-4.9"
"CA00702LED4","L ACADIE, QC CA","2019-03-17","0.0",,"170.0","-5.2","-3.2","-7.1"
"CA00702LED4","L ACADIE, QC CA","2019-03-18","0.0",,"170.0","-5.0","-1.4","-8.6"
"CA00702LED4","L ACADIE, QC CA","2019-03-19","0.2",,"170.0","-5.2","0.0","-10.4"
"CA00702LED4","L ACADIE, QC CA","2019-03-20",,,"170.0",,,
"CA00702LED4","L ACADIE, QC CA","2019-03-21","13.7",,"150.0","2.8","5.3","0.4"
"CA00702LED4","L ACADIE, QC CA","2019-03-22","18.0",,"120.0","1.3","2.3","0.3"
"CA00702LED4","L ACADIE, QC CA","2019-03-23","0.3",,"120.0","-2.1","1.5","-5.6"
"CA00702LED4","L ACADIE, QC CA","2019-03-24","1.2",,"110.0","-0.4","4.3","-5.2"
"CA00702LED4","L ACADIE, QC CA","2019-03-25","0.0",,"80.0","-6.2","-1.3","-11.1"
"CA00702LED4","L ACADIE, QC CA","2019-03-26","0.0",,"100.0","-4.9","-1.2","-8.5"
"CA00702LED4","L ACADIE, QC CA","2019-03-27","0.2",,"90.0","-1.0","5.3","-7.4"
"CA00702LED4","L ACADIE, QC CA","2019-03-28","0.4",,"10.0","3.0","5.6","0.4"
"CA00702LED4","L ACADIE, QC CA","2019-03-29","0.7",,,"2.7","7.5","-2.1"
"CA00702LED4","L ACADIE, QC CA","2019-03-30","2.7",,,"3.1","8.4","-2.3"
"CA00702LED4","L ACADIE, QC CA","2019-03-31","5.5",,,"0.0","1.7","-1.6"
"CA00702LED4","L ACADIE, QC CA","2019-04-01",,,"0.0",,,
"CA00702LED4","L ACADIE, QC CA","2019-04-02","0.0",,,"2.6","8.2","-3.1"
"CA00702LED4","L ACADIE, QC CA","2019-04-03","0.8",,,"4.6","10.2","-1.1"
"CA00702LED4","L ACADIE, QC CA","2019-04-04","0.0",,,"-1.0","1.8","-3.8"
"CA00702LED4","L ACADIE, QC CA","2019-04-05","2.4",,,"-1.4","4.2","-7.0"
"CA00702LED4","L ACADIE, QC CA","2019-04-06","1.4",,,"3.7","7.3","0.1"
"CA00702LED4","L ACADIE, QC CA","2019-04-07","0.6",,,"6.0","11.0","1.0"
"CA00702LED4","L ACADIE, QC CA","2019-04-08","23.0",,,"1.7","5.5","-2.1"
"CA00702LED4","L ACADIE, QC CA","2019-04-09","6.0",,,"-1.1","0.3","-2.4"
"CA00702LED4","L ACADIE, QC CA","2019-04-10","0.0",,,"1.5","4.7","-1.8"
"CA00702LED4","L ACADIE, QC CA","2019-04-11","0.0",,,"1.9","6.4","-2.6"
"CA00702LED4","L ACADIE, QC CA","2019-04-12","0.6",,,"7.4","13.3","1.5"
"CA00702LED4","L ACADIE, QC CA","2019-04-13","0.2",,,"10.9","18.7","3.1"
"CA00702LED4","L ACADIE, QC CA","2019-04-14","6.9",,,"4.9","9.7","0.0"
"CA00702LED4","L ACADIE, QC CA","2019-04-15","0.2",,,"4.1","6.3","2.0"
"CA00702LED4","L ACADIE, QC CA","2019-04-16","0.0",,,"4.6","7.9","1.2"
"CA00702LED4","L ACADIE, QC CA","2019-04-17","0.5",,,"6.8","13.7","-0.2"
"CA00702LED4","L ACADIE, QC CA","2019-04-18","0.9",,,"8.7","13.6","3.8"
"CA00702LED4","L ACADIE, QC CA","2019-04-19","22.2",,,"9.7","14.4","4.9"
"CA00702LED4","L ACADIE, QC CA","2019-04-20","13.0",,,"6.3","8.2","4.4"
"CA00702LED4","L ACADIE, QC CA","2019-04-21","0.2",,,"11.0","16.5","5.5"
"CA00702LED4","L ACADIE, QC CA","2019-04-22","0.2",,,"12.5","18.4","6.6"
"CA00702LED4","L ACADIE, QC CA","2019-04-23","4.3",,,"11.9","18.1","5.7"
"CA00702LED4","L ACADIE, QC CA","2019-04-24","2.9",,,"8.9","12.8","5.0"
"CA00702LED4","L ACADIE, QC CA","2019-04-25","0.3",,,"7.5","10.9","4.1"
"CA00702LED4","L ACADIE, QC CA","2019-04-26","11.2",,,"7.8","11.3","4.4"
"CA00702LED4","L ACADIE, QC CA","2019-04-27","9.7",,,"5.1","7.6","2.7"
"CA00702LED4","L ACADIE, QC CA","2019-04-28","0.0",,,"5.6","9.2","1.9"
"CA00702LED4","L ACADIE, QC CA","2019-04-29","0.0",,,"3.9","9.4","-1.6"
"CA00702LED4","L ACADIE, QC CA","2019-04-30","0.0",,,"8.7","13.4","4.1"
"CA00702LED4","L ACADIE, QC CA","2019-05-01","7.1",,,"4.8","8.0","1.5"
"CA00702LED4","L ACADIE, QC CA","2019-05-02","1.3",,,"6.1","9.3","3.0"
"CA00702LED4","L ACADIE, QC CA","2019-05-03","6.0",,,"9.4","11.7","7.1"
"CA00702LED4","L ACADIE, QC CA","2019-05-04","0.4",,,"10.8","15.6","6.0"
"CA00702LED4","L ACADIE, QC CA","2019-05-05","0.0",,,"11.9","20.4","3.5"
"CA00702LED4","L ACADIE, QC CA","2019-05-06","0.2",,,"15.4","22.7","8.0"
"CA00702LED4","L ACADIE, QC CA","2019-05-07","0.7",,,"11.3","17.9","4.7"
"CA00702LED4","L ACADIE, QC CA","2019-05-08","0.2",,,"6.5","13.1","-0.2"
"CA00702LED4","L ACADIE, QC CA","2019-05-09","10.6",,,"8.9","16.8","1.1"
"CA00702LED4","L ACADIE, QC CA","2019-05-10","26.8",,,"12.9","17.8","8.0"
"CA00702LED4","L ACADIE, QC CA","2019-05-11","0.2",,,"8.8","12.9","4.8"
"CA00702LED4","L ACADIE, QC CA","2019-05-12","0.2",,,"10.3","16.4","4.3"
"CA00702LED4","L ACADIE, QC CA","2019-05-13","6.8",,,"11.5","16.7","6.2"
"CA00702LED4","L ACADIE, QC CA","2019-05-15","0.6",,,"10.8","15.6","6.0"
"CA00702LED4","L ACADIE, QC CA","2019-05-16","0.3",,,"11.9","16.4","7.4"
"CA00702LED4","L ACADIE, QC CA","2019-05-17","1.1",,,"13.0","16.6","9.3"
"CA00702LED4","L ACADIE, QC CA","2019-05-18","0.2",,,"11.6","15.0","8.3"
"CA00702LED4","L ACADIE, QC CA","2019-05-19","14.3",,,"14.2","18.3","10.1"
"CA00702LED4","L ACADIE, QC CA","2019-05-20","0.0",,,"16.6","23.4","9.7"
"CA00702LED4","L ACADIE, QC CA","2019-05-21","0.0",,,"11.9","15.9","7.9"
"CA00702LED4","L ACADIE, QC CA","2019-05-22","0.5",,,"12.9","19.3","6.4"
"CA00702LED4","L ACADIE, QC CA","2019-05-23","5.3",,,"15.9","20.5","11.3"
"CA00702LED4","L ACADIE, QC CA","2019-05-24","1.1",,,"12.6","17.0","8.1"
"CA00702LED4","L ACADIE, QC CA","2019-05-25","0.8",,,"13.6","20.6","6.7"
"CA00702LED4","L ACADIE, QC CA","2019-05-26","0.2",,,"18.4","24.6","12.3"
"CA00702LED4","L ACADIE, QC CA","2019-05-27","0.2",,,"12.0","16.6","7.4"
"CA00702LED4","L ACADIE, QC CA","2019-05-28","3.1",,,"9.4","12.3","6.5"
"CA00702LED4","L ACADIE, QC CA","2019-05-29","0.5",,,"10.7","16.4","5.1"
"CA00702LED4","L ACADIE, QC CA","2019-05-30","1.6",,,"15.8","23.2","8.4"
"CA00702LED4","L ACADIE, QC CA","2019-05-31","0.0",,,"11.2","16.3","6.0"
"CA00702LED4","L ACADIE, QC CA","2019-06-01","0.7",,,"12.0","18.3","5.7"
"CA00702LED4","L ACADIE, QC CA","2019-06-02","4.7",,,"15.0","19.2","10.8"
"CA00702LED4","L ACADIE, QC CA","2019-06-03","0.5",,,"10.4","14.2","6.7"
"CA00702LED4","L ACADIE, QC CA","2019-06-04","0.0",,,"11.6","18.1","5.1"
"CA00702LED4","L ACADIE, QC CA","2019-06-05","0.1",,,"13.7","17.7","9.7"
"CA00702LED4","L ACADIE, QC CA","2019-06-06","0.0",,,"17.3","23.3","11.3"
"CA00702LED4","L ACADIE, QC CA","2019-06-07","0.2",,,"16.0","25.7","6.2"
"CA00702LED4","L ACADIE, QC CA","2019-06-08","0.3",,,"15.5","23.6","7.3"
"CA00702LED4","L ACADIE, QC CA","2019-06-09","0.0",,,"19.4","29.4","9.3"
"CA00702LED4","L ACADIE, QC CA","2019-06-10","2.4",,,"23.4","30.0","16.7"
"CA00702LED4","L ACADIE, QC CA","2019-06-11","9.9",,,"14.2","19.1","9.4"
"CA00702LED4","L ACADIE, QC CA","2019-06-12","0.0",,,"15.9","23.7","8.2"
"CA00702LED4","L ACADIE, QC CA","2019-06-13","0.6",,,"15.3","18.4","12.2"
"CA00702LED4","L ACADIE, QC CA","2019-06-14","1.7",,,"15.2","19.4","11.0"
"CA00702LED4","L ACADIE, QC CA","2019-06-15","6.4",,,"17.3","24.1","10.4"
"CA00702LED4","L ACADIE, QC CA","2019-06-16","0.0",,,"16.6","20.9","12.3"
"CA00702LED4","L ACADIE, QC CA","2019-06-17","0.0",,,"17.0","23.1","11.0"
"CA00702LED4","L ACADIE, QC CA","2019-06-18","0.0",,,"18.6","26.7","10.5"
"CA00702LED4","L ACADIE, QC CA","2019-06-19","0.0",,,"21.7","28.0","15.5"
"CA00702LED4","L ACADIE, QC CA","2019-06-22","0.0",,,"18.9","26.0","11.8"
"CA00702LED4","L ACADIE, QC CA","2019-06-23","0.0",,,"20.4","27.3","13.4"
"CA00702LED4","L ACADIE, QC CA","2019-06-24","0.0",,,"18.2","25.6","10.8"
"CA00702LED4","L ACADIE, QC CA","2019-06-25","9.2",,,"19.9","24.5","15.3"
"CA00702LED4","L ACADIE, QC CA","2019-06-26","6.9",,,"21.1","27.5","14.7"
"CA00702LED4","L ACADIE, QC CA","2019-06-27","0.6",,,"22.6","28.7","16.5"
"CA00702LED4","L ACADIE, QC CA","2019-06-28","0.2",,,"22.5","29.9","15.0"
"CA00702LED4","L ACADIE, QC CA","2019-06-29","19.6",,,"22.5","28.3","16.8"
"CA00702LED4","L ACADIE, QC CA","2019-06-30","1.1",,,"19.8","24.2","15.4"
"CA00702LED4","L ACADIE, QC CA","2019-07-01","0.0",,,"21.2","26.9","15.6"
"CA00702LED4","L ACADIE, QC CA","2019-07-02","0.0",,,"24.2","29.3","19.1"
"CA00702LED4","L ACADIE, QC CA","2019-07-03","0.2",,,"24.7","30.8","18.6"
"CA00702LED4","L ACADIE, QC CA","2019-07-04","0.0",,,"24.5","32.5","16.5"
"CA00702LED4","L ACADIE, QC CA","2019-07-05","0.5",,,"25.0","29.7","20.3"
"CA00702LED4","L ACADIE, QC CA","2019-07-06","2.8",,,"22.3","29.2","15.5"
"CA00702LED4","L ACADIE, QC CA","2019-07-07","0.2",,,"18.7","25.0","12.3"
"CA00702LED4","L ACADIE, QC CA","2019-07-08","0.2",,,"18.7","27.4","10.1"
"CA00702LED4","L ACADIE, QC CA","2019-07-09","0.0",,,"22.1","30.0","14.3"
"CA00702LED4","L ACADIE, QC CA","2019-07-10","0.5",,,"23.4","31.1","15.8"
"CA00702LED4","L ACADIE, QC CA","2019-07-12","0.0",,,"21.0","25.4","16.6"
"CA00702LED4","L ACADIE, QC CA","2019-07-13","1.5",,,"22.2","27.7","16.6"
"CA00702LED4","L ACADIE, QC CA","2019-07-14","0.0",,,"20.1","24.9","15.4"
"CA00702LED4","L ACADIE, QC CA","2019-07-15","0.0",,,"20.5","26.6","14.4"
"CA00702LED4","L ACADIE, QC CA","2019-07-16","0.0",,,"20.7","27.0","14.4"
"CA00702LED4","L ACADIE, QC CA","2019-07-17","0.0",,,"21.2","27.7","14.8"
"CA00702LED4","L ACADIE, QC CA","2019-07-18","0.2",,,"20.4","27.7","13.0"
"CA00702LED4","L ACADIE, QC CA","2019-07-19","1.9",,,"26.6","32.0","21.2"
"CA00702LED4","L ACADIE, QC CA","2019-07-20","0.0",,,"29.0","34.3","23.6"
"CA00702LED4","L ACADIE, QC CA","2019-07-21","0.0",,,"24.4","30.6","18.1"
"CA00702LED4","L ACADIE, QC CA","2019-07-22","0.0",,,"18.5","23.0","14.0"
"CA00702LED4","L ACADIE, QC CA","2019-07-23","3.3",,,"19.8","26.8","12.8"
"CA00702LED4","L ACADIE, QC CA","2019-07-24","0.0",,,"17.9","24.6","11.2"
"CA00702LED4","L ACADIE, QC CA","2019-07-25","0.2",,,"19.4","28.5","10.3"
"CA00702LED4","L ACADIE, QC CA","2019-07-26","0.2",,,"22.0","30.8","13.3"
"CA00702LED4","L ACADIE, QC CA","2019-07-27","1.2",,,"22.9","30.8","14.9"
"CA00702LED4","L ACADIE, QC CA","2019-07-28","8.4",,,"24.0","29.4","18.7"
"CA00702LED4","L ACADIE, QC CA","2019-07-29","0.0",,,"24.7","31.2","18.1"
"CA00702LED4","L ACADIE, QC CA","2019-07-30","35.2",,,"25.4","30.3","20.5"
"CA00702LED4","L ACADIE, QC CA","2019-07-31","0.0",,,"22.8","28.5","17.1"
"CA00702LED4","L ACADIE, QC CA","2019-08-01","0.0",,,"19.8","26.4","13.2"
"CA00702LED4","L ACADIE, QC CA","2019-08-02","0.0",,,"19.5","28.1","11.0"
"CA00702LED4","L ACADIE, QC CA","2019-08-03","0.0",,,"20.3","28.2","12.3"
"CA00702LED4","L ACADIE, QC CA","2019-08-04","0.0",,,"17.2","23.6","10.9"
"CA00702LED4","L ACADIE, QC CA","2019-08-05","0.0",,,"17.9","26.9","9.0"
"CA00702LED4","L ACADIE, QC CA","2019-08-06","0.0",,,"21.5","29.2","13.8"
"CA00702LED4","L ACADIE, QC CA","2019-08-07","3.3",,,"20.7","25.0","16.4"
"CA00702LED4","L ACADIE, QC CA","2019-08-09","0.7",,,"19.1","25.1","13.2"
"CA00702LED4","L ACADIE, QC CA","2019-08-10","0.3",,,"16.9","20.6","13.2"
"CA00702LED4","L ACADIE, QC CA","2019-08-11","0.0",,,"19.4","26.0","12.9"
"CA00702LED4","L ACADIE, QC CA","2019-08-12","9.0",,,"21.0","26.4","15.6"
"CA00702LED4","L ACADIE, QC CA","2019-08-13","0.0",,,"20.3","26.2","14.4"
"CA00702LED4","L ACADIE, QC CA","2019-08-14","0.0",,,"18.2","24.0","12.5"
"CA00702LED4","L ACADIE, QC CA","2019-08-15","1.3",,,"16.8","23.8","9.7"
"CA00702LED4","L ACADIE, QC CA","2019-08-16","11.0",,,"19.4","24.3","14.5"
"CA00702LED4","L ACADIE, QC CA","2019-08-17","16.4",,,"22.5","27.3","17.8"
"CA00702LED4","L ACADIE, QC CA","2019-08-18","0.0",,,"22.0","26.7","17.4"
"CA00702LED4","L ACADIE, QC CA","2019-08-19","0.0",,,"22.6","28.3","16.8"
"CA00702LED4","L ACADIE, QC CA","2019-08-20","0.0",,,"20.3","26.6","13.9"
"CA00702LED4","L ACADIE, QC CA","2019-08-21","9.1",,,"19.1","23.7","14.4"
"CA00702LED4","L ACADIE, QC CA","2019-08-22","0.2",,,"19.3","25.4","13.2"
"CA00702LED4","L ACADIE, QC CA","2019-08-23","0.0",,,"16.7","21.9","11.6"
"CA00702LED4","L ACADIE, QC CA","2019-08-24","0.0",,,"15.7","21.6","9.9"
"CA00702LED4","L ACADIE, QC CA","2019-08-25","0.0",,,"16.6","24.6","8.6"
"CA00702LED4","L ACADIE, QC CA","2019-08-26","0.0",,,"17.4","25.1","9.7"
"CA00702LED4","L ACADIE, QC CA","2019-08-27","0.0",,,"17.6","24.9","10.3"
"CA00702LED4","L ACADIE, QC CA","2019-08-28","13.0",,,"19.7","22.4","17.0"
"CA00702LED4","L ACADIE, QC CA","2019-08-30","4.2",,,"17.6","23.6","11.7"
"CA00702LED4","L ACADIE, QC CA","2019-08-31","0.0",,,"14.9","21.3","8.5"
"CA00702LED4","L ACADIE, QC CA","2019-09-01","5.0",,,"15.0","22.7","7.3"
"CA00702LED4","L ACADIE, QC CA","2019-09-02","62.4",,,"17.2","20.1","14.3"
"CA00702LED4","L ACADIE, QC CA","2019-09-03","0.6",,,"15.2","19.4","10.9"
"CA00702LED4","L ACADIE, QC CA","2019-09-04","19.3",,,"18.7","23.9","13.4"
"CA00702LED4","L ACADIE, QC CA","2019-09-05","0.0",,,"14.2","20.0","8.3"
"CA00702LED4","L ACADIE, QC CA","2019-09-06","0.0",,,"15.8","23.0","8.6"
"CA00702LED4","L ACADIE, QC CA","2019-09-07","9.3",,,"16.2","20.5","11.9"
"CA00702LED4","L ACADIE, QC CA","2019-09-08","0.3",,,"13.7","18.4","9.0"
"CA00702LED4","L ACADIE, QC CA","2019-09-10","3.0",,,"12.7","20.0","5.3"
"CA00702LED4","L ACADIE, QC CA","2019-09-11","0.9",,,"19.6","26.3","12.9"
"CA00702LED4","L ACADIE, QC CA","2019-09-12","0.0",,,"12.3","19.0","5.7"
"CA00702LED4","L ACADIE, QC CA","2019-09-13","0.2",,,"12.7","20.6","4.8"
"CA00702LED4","L ACADIE, QC CA","2019-09-14","4.1",,,"17.0","20.8","13.2"
"CA00702LED4","L ACADIE, QC CA","2019-09-15","0.0",,,"13.9","17.1","10.6"
"CA00702LED4","L ACADIE, QC CA","2019-09-16","0.0",,,"13.9","20.3","7.5"
"CA00702LED4","L ACADIE, QC CA","2019-09-17","0.0",,,"12.4","19.1","5.7"
"CA00702LED4","L ACADIE, QC CA","2019-09-18","0.0",,,"10.6","17.9","3.2"
"CA00702LED4","L ACADIE, QC CA","2019-09-19","0.0",,,"11.9","22.1","1.7"
"CA00702LED4","L ACADIE, QC CA","2019-09-20","0.0",,,"16.5","25.0","7.9"
"CA00702LED4","L ACADIE, QC CA","2019-09-21","0.0",,,"18.8","26.7","10.9"
"CA00702LED4","L ACADIE, QC CA","2019-09-22","0.0",,,"19.5","25.3","13.7"
"CA00702LED4","L ACADIE, QC CA","2019-09-23","6.9",,,"21.0","24.9","17.1"
"CA00702LED4","L ACADIE, QC CA","2019-09-24","0.0",,,"14.7","17.2","12.2"
"CA00702LED4","L ACADIE, QC CA","2019-09-25","0.1",,,"14.8","19.3","10.3"
"CA00702LED4","L ACADIE, QC CA","2019-09-26","10.9",,,"13.8","17.6","10.0"
"CA00702LED4","L ACADIE, QC CA","2019-09-27","0.0",,,"14.8","20.0","9.6"
"CA00702LED4","L ACADIE, QC CA","2019-09-28","3.7",,,"15.1","18.0","12.3"
"CA00702LED4","L ACADIE, QC CA","2019-09-29","0.0",,,"9.3","14.1","4.5"
"CA00702LED4","L ACADIE, QC CA","2019-09-30","2.4",,,"8.9","14.8","3.0"
"CA00702LED4","L ACADIE, QC CA","2019-10-01","44.5",,,"13.4","17.8","9.0"
"CA00702LED4","L ACADIE, QC CA","2019-10-02","0.0",,,"8.9","15.6","2.2"
"CA00702LED4","L ACADIE, QC CA","2019-10-03","5.1",,,"6.0","10.8","1.2"
"CA00702LED4","L ACADIE, QC CA","2019-10-04","0.9",,,"5.8","10.5","1.1"
"CA00702LED4","L ACADIE, QC CA","2019-10-05","0.0",,,"6.5","13.0","0.0"
"CA00702LED4","L ACADIE, QC CA","2019-10-06","0.0",,,"10.0","16.1","3.9"
"CA00702LED4","L ACADIE, QC CA","2019-10-07","10.0",,,"13.3","15.8","10.8"
"CA00702LED4","L ACADIE, QC CA","2019-10-08","0.0",,,"10.2","16.8","3.6"
"CA00702LED4","L ACADIE, QC CA","2019-10-09","0.0",,,"9.6","16.8","2.4"
"CA00702LED4","L ACADIE, QC CA","2019-10-10","0.0",,,"11.5","18.1","4.8"
"CA00702LED4","L ACADIE, QC CA","2019-10-11","0.0",,,"11.4","19.6","3.3"
"CA00702LED4","L ACADIE, QC CA","2019-10-13","0.0",,,"9.6","15.9","3.3"
"CA00702LED4","L ACADIE, QC CA","2019-10-14","0.0",,,"9.4","16.5","2.3"
"CA00702LED4","L ACADIE, QC CA","2019-10-15","0.0",,,"7.6","13.9","1.3"
"CA00702LED4","L ACADIE, QC CA","2019-10-16","6.9",,,"11.2","16.4","6.0"
